GPS TOW [s],IMU Temp [C],Acc X [g],Acc Y [g],Acc Z [g],Gyr X [deg/s],Gyr Y [deg/s],Gyr Z [deg/s],Mag X [uT],Mag Y [uT],Mag Z [uT]
179480.312,,-0.05225,-0.02148,-0.95703,0.09155,0.61035,0.12207,,,
179480.317,,-0.05225,-0.02319,-0.95947,0.15259,0.51880,0.12207,0.6,43.1,22.1
179480.322,,-0.05176,-0.02222,-0.95776,0.03052,0.57983,0.15259,,,
179480.327,,-0.05078,-0.02173,-0.95435,0.09155,0.57983,0.18311,,,
179480.332,,-0.05078,-0.02271,-0.95923,0.06104,0.57983,0.09155,,,
179480.337,,-0.05078,-0.02271,-0.95996,0.00000,0.57983,0.18311,,,
179480.342,,-0.05078,-0.02197,-0.96045,0.06104,0.54932,0.18311,,,
179480.347,,-0.05249,-0.02417,-0.95874,0.09155,0.54932,0.15259,,,
179480.352,,-0.05225,-0.02563,-0.95923,-0.09155,0.51880,0.12207,,,
179480.357,,-0.05151,-0.02246,-0.96167,0.00000,0.51880,0.12207,1.6,41.6,21.4
179480.362,,-0.05200,-0.02319,-0.95923,0.09155,0.54932,0.12207,,,
179480.367,,-0.05103,-0.02271,-0.96021,0.09155,0.45776,0.18311,,,
179480.372,,-0.05054,-0.02271,-0.96094,0.09155,0.36621,0.21362,,,
179480.377,,-0.05005,-0.02271,-0.95776,0.06104,0.48828,0.09155,,,
179480.382,,-0.05054,-0.02148,-0.96069,0.03052,0.61035,0.03052,,,
179480.387,,-0.04956,-0.02393,-0.95801,0.03052,0.51880,0.09155,,,
179480.392,,-0.05005,-0.02417,-0.95947,0.21362,0.42725,0.09155,,,
179480.397,,-0.05225,-0.02393,-0.95923,0.21362,0.48828,0.09155,1.6,42.6,22.3
179480.401,,-0.05078,-0.02197,-0.95728,0.15259,0.64087,0.15259,,,
179480.406,,-0.04834,-0.02026,-0.95776,0.00000,0.48828,0.15259,,,
179480.411,,-0.05005,-0.02319,-0.95850,0.09155,0.48828,0.00000,,,
179480.416,,-0.04932,-0.02393,-0.95923,0.09155,0.45776,0.06104,,,
179480.421,,-0.05029,-0.02124,-0.96411,0.18311,0.36621,0.06104,,,
179480.426,,-0.04980,-0.02075,-0.96216,0.18311,0.54932,0.12207,,,
179480.431,,-0.05103,-0.02197,-0.95898,-0.03052,0.61035,0.15259,,,
179480.436,,-0.04834,-0.01929,-0.96216,0.12207,0.57983,0.03052,-0.4,43.6,22.2
179480.441,,-0.04932,-0.02173,-0.95703,0.21362,0.54932,0.09155,,,
179480.446,,-0.05518,-0.02197,-0.95605,0.03052,0.54932,0.00000,,,
179480.451,,-0.05518,-0.02148,-0.95923,0.06104,0.51880,0.06104,,,
179480.456,,-0.04712,-0.02295,-0.95630,0.09155,0.51880,0.18311,,,
179480.461,,-0.04907,-0.01880,-0.95654,0.03052,0.57983,0.12207,,,
179480.466,,-0.04956,-0.01978,-0.96021,0.06104,0.54932,0.18311,,,
179480.471,,-0.05176,-0.02002,-0.95581,0.09155,0.39673,0.21362,,,
179480.476,,-0.05249,-0.02393,-0.95581,0.15259,0.54932,0.15259,1.6,41.6,21.8
179480.481,,-0.05029,-0.02441,-0.95581,-0.06104,0.54932,0.21362,,,
