PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
P157,333490.643,1963376.505,17.75138956,-64.57053398,-41.769,-0.487, 
P158,333490.313,1963376.997,17.75139398,-64.57053713,-41.468,-0.187, 
P159,333489.828,1963377.968,17.75140272,-64.57054178,-41.361,-0.080, 
P160,333489.505,1963379.193,17.75141375,-64.57054492,-41.324,-0.042, 
P161,333489.020,1963380.245,17.75142323,-64.57054957,-41.233,0.049, 
P162,333488.449,1963381.351,17.75143318,-64.57055505,-41.159,0.123, 
P163,333487.838,1963382.281,17.75144153,-64.57056088,-41.003,0.279, 
P164,333487.379,1963383.094,17.75144884,-64.57056527,-40.888,0.394, 
P165,333487.063,1963383.776,17.75145498,-64.57056831,-40.325,0.957, 
P166,333476.965,1963381.044,17.75142954,-64.57066331,-40.485,0.796, 
P167,333477.461,1963379.719,17.75141761,-64.57065853,-40.487,0.795, 
P168,333478.005,1963378.715,17.75140857,-64.57065332,-40.461,0.820, 
P169,333478.495,1963377.792,17.75140027,-64.57064863,-40.581,0.701, 
P170,333478.976,1963376.815,17.75139147,-64.57064401,-40.816,0.465, 
P171,333479.489,1963375.799,17.75138234,-64.57063910,-41.021,0.260, 
P172,333480.050,1963374.724,17.75137266,-64.57063372,-41.255,0.026, 
P173,333480.649,1963373.716,17.75136360,-64.57062800,-41.409,-0.127, 
P174,333481.379,1963372.644,17.75135397,-64.57062103,-41.563,-0.282, 
P175,333481.955,1963371.633,17.75134488,-64.57061552,-41.714,-0.433, 
P176,333482.454,1963370.665,17.75133617,-64.57061074,-41.752,-0.471, 
P177,333483.181,1963369.660,17.75132715,-64.57060380,-41.816,-0.535, 
P178,333483.785,1963368.753,17.75131899,-64.57059804,-41.845,-0.564, 
P179,333484.395,1963367.898,17.75131131,-64.57059221,-42.079,-0.797, 
P180,333485.119,1963367.089,17.75130407,-64.57058533,-42.261,-0.980, 
P181,333485.747,1963366.338,17.75129732,-64.57057934,-42.335,-1.053, 
P182,333486.204,1963365.470,17.75128952,-64.57057497,-42.343,-1.062, 
P183,333486.563,1963365.138,17.75128654,-64.57057155,-42.041,-0.759, 
P184,333487.397,1963364.282,17.75127887,-64.57056363,-42.121,-0.840, 
P185,333487.996,1963363.430,17.75127122,-64.57055791,-42.210,-0.929, 
P186,333488.608,1963362.564,17.75126344,-64.57055207,-42.266,-0.985, 
P187,333489.272,1963361.837,17.75125692,-64.57054575,-42.322,-1.041, 
P188,333489.824,1963361.046,17.75124982,-64.57054048,-42.350,-1.068, 
P189,333490.381,1963360.217,17.75124237,-64.57053516,-42.357,-1.076, 
P190,333490.785,1963359.594,17.75123677,-64.57053131,-42.405,-1.123, 
P191,333491.374,1963358.644,17.75122823,-64.57052567,-42.445,-1.164, 
P192,333481.813,1963351.143,17.75115974,-64.57061524,-42.515,-1.234, 
P193,333480.766,1963352.275,17.75116988,-64.57062520,-42.416,-1.135, 
