PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
P134,327616.261,1967655.953,17.78960368,-64.62627537,-42.641,-1.052, 
P135,327614.987,1967655.597,17.78960036,-64.62628736,-42.549,-0.960, 
P136,327614.423,1967654.705,17.78959226,-64.62629261,-42.338,-0.749, 
P137,327615.938,1967652.724,17.78957448,-64.62627815,-42.185,-0.596, 
P138,327614.238,1967654.196,17.78958765,-64.62629431,-42.333,-0.744, 
P139,327612.971,1967655.086,17.78959559,-64.62630633,-42.332,-0.743, 
P140,327611.434,1967655.391,17.78959823,-64.62632085,-42.364,-0.775, 
P141,327610.651,1967656.083,17.78960442,-64.62632829,-42.556,-0.967, 
P142,327610.186,1967657.005,17.78961271,-64.62633275,-42.652,-1.063, 
P143,327609.470,1967654.694,17.78959177,-64.62633932,-42.368,-0.779, 
P144,327609.450,1967654.559,17.78959055,-64.62633949,-42.363,-0.774, 
P145,327608.381,1967655.298,17.78959715,-64.62634964,-42.557,-0.968, 
P146,327607.376,1967654.519,17.78959003,-64.62635905,-42.267,-0.678, 
P147,327605.621,1967655.034,17.78959454,-64.62637564,-42.294,-0.705, 
P148,327604.809,1967654.371,17.78958848,-64.62638325,-41.978,-0.389, 
P149,327605.176,1967655.762,17.78960109,-64.62637990,-42.511,-0.921, 
P150,327608.072,1967654.498,17.78958989,-64.62635248,-42.317,-0.728, 
P151,327609.936,1967654.292,17.78958818,-64.62633488,-42.345,-0.756, 
P152,327624.578,1967653.861,17.78958543,-64.62619676,-42.405,-0.817, 
P153,327626.371,1967653.080,17.78957851,-64.62617978,-42.163,-0.575, 
P154,327627.872,1967652.353,17.78957206,-64.62616557,-42.154,-0.566, 
P155,327629.462,1967651.210,17.78956186,-64.62615048,-42.248,-0.659, 
P156,327630.768,1967650.153,17.78955241,-64.62613808,-42.119,-0.531, 
P157,327631.918,1967649.061,17.78954264,-64.62612714,-42.127,-0.539, 
P158,327633.023,1967648.347,17.78953628,-64.62611667,-42.282,-0.695, 
P159,327633.802,1967647.290,17.78952678,-64.62610923,-42.202,-0.614, 
P160,327635.105,1967646.131,17.78951641,-64.62609685,-42.193,-0.605, 
P161,327635.909,1967645.148,17.78950760,-64.62608918,-42.442,-0.855, 
P162,327637.032,1967644.259,17.78949965,-64.62607852,-42.383,-0.796, 
P163,327638.256,1967643.183,17.78949002,-64.62606688,-42.289,-0.702, 
P164,327638.749,1967642.510,17.78948398,-64.62606218,-42.171,-0.584, 
P165,327639.797,1967641.696,17.78947671,-64.62605223,-41.754,-0.167, 
P166,327643.746,1967639.623,17.78945829,-64.62601482,-41.318,0.269, 
P167,327648.157,1967648.389,17.78953784,-64.62597394,-41.693,-0.106, 
P168,327646.959,1967649.420,17.78954706,-64.62598532,-41.999,-0.412, 
P169,327645.898,1967650.672,17.78955829,-64.62599543,-42.137,-0.549, 
P170,327644.860,1967652.010,17.78957029,-64.62600532,-42.062,-0.474, 
P171,327643.942,1967652.808,17.78957744,-64.62601404,-42.114,-0.526, 
P172,327642.673,1967653.735,17.78958571,-64.62602609,-42.066,-0.477, 
P173,327641.193,1967654.543,17.78959290,-64.62604011,-42.244,-0.656, 
P174,327640.441,1967655.303,17.78959970,-64.62604727,-42.110,-0.522, 
P175,327639.461,1967656.473,17.78961020,-64.62605661,-42.029,-0.440, 
P176,327638.778,1967657.869,17.78962276,-64.62606317,-42.361,-0.772, 
P177,327638.543,1967659.168,17.78963447,-64.62606549,-42.310,-0.721, 
P178,327638.164,1967660.538,17.78964682,-64.62606917,-42.182,-0.593, 
P179,327637.612,1967661.827,17.78965843,-64.62607449,-42.149,-0.559, 
P180,327637.189,1967662.977,17.78966878,-64.62607857,-42.125,-0.536, 
P181,327636.662,1967664.036,17.78967831,-64.62608362,-41.938,-0.348, 
P182,327635.833,1967665.324,17.78968989,-64.62609154,-42.065,-0.475, 
P183,327635.637,1967665.596,17.78969233,-64.62609342,-41.844,-0.254, 
P184,327635.630,1967666.772,17.78970295,-64.62609358,-42.180,-0.591, 
P185,327635.272,1967667.906,17.78971316,-64.62609705,-42.194,-0.604, 
P186,327634.757,1967669.045,17.78972342,-64.62610200,-42.053,-0.463, 
P187,327633.916,1967670.281,17.78973452,-64.62611004,-41.962,-0.371, 
P188,327632.798,1967670.791,17.78973904,-64.62612062,-42.155,-0.565, 
P189,327631.924,1967671.526,17.78974561,-64.62612892,-42.354,-0.763, 
P190,327631.009,1967672.614,17.78975537,-64.62613764,-42.404,-0.814, 
P191,327632.256,1967672.567,17.78975504,-64.62612587,-42.317,-0.727, 
P192,327631.252,1967674.049,17.78976835,-64.62613546,-42.548,-0.957, 
P193,327630.976,1967675.184,17.78977859,-64.62613816,-42.692,-1.101, 
P194,327630.484,1967676.356,17.78978914,-64.62614290,-42.673,-1.082, 
